stateFIPS,countyFIPS,stateAbbreviation,name,allAgesPovertyCount,allAgesPovertyPercent,childrenPovertyCount,childrenPovertyPercent,"Poverty Estimate, Age 5-17 in Families","Poverty Percent, Age 5-17 in Families",medianHouseholdIncome
1,0,AL,Alabama,875853,18.5,288450,26.5,201222,25.2,44833
1,1,AL,Autauga County,6966,12.7,2544,18.8,1898,18.4,56580
1,3,AL,Baldwin County,25941,12.9,8629,19.6,5979,18.2,52387
1,5,AL,Barbour County,7380,32,2510,45.2,1799,43.9,31433
1,7,AL,Bibb County,4516,22.2,1339,29.3,962,28.5,40767
1,9,AL,Blount County,8399,14.7,2935,22.2,2098,21.3,50487
1,11,AL,Bullock County,3544,39.6,1116,51.2,768,49.4,28251
1,13,AL,Butler County,5100,25.8,1685,36,1207,34.9,33868
1,15,AL,Calhoun County,22579,20,7687,30.7,5505,29.8,42091
1,17,AL,Chambers County,7532,22.4,2452,34.4,1745,34.1,35560
1,19,AL,Cherokee County,4961,19.4,1558,30.2,1123,28.8,39144
1,21,AL,Chilton County,8787,20.2,2950,28.1,2031,26.3,42767
1,23,AL,Choctaw County,3177,24.4,891,33.5,618,30.8,35089
1,25,AL,Clarke County,5403,22.2,1671,30.9,1189,28.9,37317
1,27,AL,Clay County,2436,18.4,781,27.3,564,26.3,38908
1,29,AL,Cleburne County,2797,18.9,941,27.7,637,25,42136
1,31,AL,Coffee County,8196,16.2,2842,23.7,1916,21.4,46858
1,33,AL,Colbert County,9732,18.1,3102,26.9,2172,25.4,41171
1,35,AL,Conecuh County,3560,28.3,1105,41,775,38.6,29981
1,37,AL,Coosa County,2118,20.3,611,32.2,435,31.4,36078
1,39,AL,Covington County,8319,22.3,2801,34.1,2104,35.2,36355
1,41,AL,Crenshaw County,2742,19.9,924,29.6,648,28.2,36759
1,43,AL,Cullman County,15694,19.4,4456,24.7,3311,25,39290
1,45,AL,Dale County,8980,18.5,3313,29,2341,28.1,45294
1,47,AL,Dallas County,14021,34.6,5093,50.1,3571,48.1,29682
1,49,AL,DeKalb County,14481,20.6,4989,28.9,3459,26.6,37305
1,51,AL,Elmore County,10609,14,3652,19.9,2524,18.5,53548
1,53,AL,Escambia County,8394,24.4,2642,32,1925,32.1,36840
1,55,AL,Etowah County,19146,19,6795,30.7,4789,29.3,42145
1,57,AL,Fayette County,3364,20.4,1050,29.4,706,26.3,37085
1,59,AL,Franklin County,6609,21.1,2475,32.4,1756,31.2,38535
1,61,AL,Geneva County,5932,22.4,2040,34.8,1477,34.1,36289
1,63,AL,Greene County,3175,37.7,1065,54.7,775,53.3,25398
1,65,AL,Hale County,4224,28.5,1357,38.6,914,35.3,35470
1,67,AL,Henry County,2894,17,986,27.5,731,27.5,42501
1,69,AL,Houston County,18829,18.3,7110,29.5,4789,27,43568
1,71,AL,Jackson County,9516,18.4,2977,26.9,2186,26.4,40201
1,73,AL,Jefferson County,115897,18,39431,26.2,27333,25.3,48415
1,75,AL,Lamar County,3378,24.7,992,33.8,668,29.5,36520
1,77,AL,Lauderdale County,15642,17.3,4428,23.9,3132,22.7,43008
1,79,AL,Lawrence County,6130,18.7,1864,26.4,1343,25,41771
1,81,AL,Lee County,31900,21,6915,20.7,4695,19.3,46442
1,83,AL,Limestone County,12644,14.3,3944,18.8,2846,18.1,55060
1,85,AL,Lowndes County,3640,35.2,1110,46.7,842,49.3,31117
1,87,AL,Macon County,5588,32.2,1559,46.1,1102,44.6,29522
1,89,AL,Madison County,45877,13.3,14867,19.1,9895,17.2,59117
1,91,AL,Marengo County,4596,23.3,1608,34.8,1157,34.2,35389
1,93,AL,Marion County,5789,19.8,1900,30.4,1331,28.6,34977
1,95,AL,Marshall County,18767,20.1,7442,32.7,5341,32.1,40599
1,97,AL,Mobile County,75204,18.4,26298,26.9,17393,24.7,42530
1,99,AL,Monroe County,6116,28.6,1755,35.7,1226,32.2,35163
1,101,AL,Montgomery County,49457,22.8,18031,33.8,13279,35,42666
1,103,AL,Morgan County,19250,16.4,6505,24,4263,21.3,47234
1,105,AL,Perry County,3536,40,1121,54.4,820,52,26218
1,107,AL,Pickens County,4531,24.3,1444,35.3,1023,33.4,33160
1,109,AL,Pike County,8066,25.9,2297,36,1616,35.9,34442
1,111,AL,Randolph County,4154,18.7,1549,31.7,1061,29.2,37333
1,113,AL,Russell County,13575,23,5498,36.3,3735,35.7,36124
1,115,AL,St. Clair County,10494,12.4,3431,17.5,2486,17.2,53558
1,117,AL,Shelby County,17558,8.5,5088,10.2,3559,9.4,70879
1,119,AL,Sumter County,4073,33.2,1118,44.2,796,41.7,25931
1,121,AL,Talladega County,17439,22.4,5362,31.1,3882,30.3,37911
1,123,AL,Tallapoosa County,8717,21.7,2928,34.5,2070,33.9,39051
1,125,AL,Tuscaloosa County,38704,20,10533,25.1,7025,23.5,47868
1,127,AL,Walker County,13271,20.6,4392,31.1,3044,29.5,37305
1,129,AL,Washington County,3728,22.4,1182,31.5,843,28.6,42658
1,131,AL,Wilcox County,3629,33.2,1331,49.2,963,46.3,23014
1,133,AL,Winston County,4451,18.9,1449,29.3,1026,27.6,36497
2,0,AK,Alaska,74941,10.4,26564,14.5,16959,13.3,73391
2,13,AK,Aleutians East Borough,582,17.4,45,15.5,29,13.3,57015
2,16,AK,Aleutians West Census Area,469,8.5,54,8.5,36,7.9,80695
2,20,AK,Anchorage Borough,25305,8.7,8982,12.4,5659,11.2,77791
2,50,AK,Bethel Census Area,4271,24.2,2009,31.5,1358,31.1,44849
